CLID	NAME	1X	2X	3X	4X	5X	BT474	MCF7	SKBR3	T47D	NORWAY 7	NORWAY 10	NORWAY 11	NORWAY 12	NORWAY 14	NORWAY 15	NORWAY 16	NORWAY 17	NORWAY 18	NORWAY 19	NORWAY 26	NORWAY 27	NORWAY 39	NORWAY 41	NORWAY 47	NORWAY 48	NORWAY 53	NORWAY 56	NORWAY 57	NORWAY 61	NORWAY 65	NORWAY 100	NORWAY 101	NORWAY 102	NORWAY 104	NORWAY 109	NORWAY 111	NORWAY 112	STANFORD 2	STANFORD 14	STANFORD 16	STANFORD 17	STANFORD 23	STANFORD 24	STANFORD 35	STANFORD 38	STANFORD A	BT474 (mRNA)	MCF7 (mRNA)	SKBR3 (mRNA)	T47D (mRNA)	NORWAY 7 (mRNA)	NORWAY 10 (mRNA)	NORWAY 11 (mRNA)	NORWAY 12 (mRNA)	NORWAY 14 (mRNA)	NORWAY 15 (mRNA)	NORWAY 16 (mRNA)	NORWAY 17 (mRNA)	NORWAY 18 (mRNA)	NORWAY 19 (mRNA)	NORWAY 26 (mRNA)	NORWAY 27 (mRNA)	NORWAY 39 (mRNA)	NORWAY 41 (mRNA)	NORWAY 47 (mRNA)	NORWAY 48 (mRNA)	NORWAY 53 (mRNA)	NORWAY 56 (mRNA)	NORWAY 57 (mRNA)	NORWAY 61 (mRNA)	NORWAY 65 (mRNA)	NORWAY 100 (mRNA)	NORWAY 101 (mRNA)	NORWAY 102 (mRNA)	NORWAY 104 (mRNA)	NORWAY 109 (mRNA)	NORWAY 111 (mRNA)	NORWAY 112 (mRNA)	STANFORD 2 (mRNA)	STANFORD 14 (mRNA)	STANFORD 16 (mRNA)	STANFORD 17 (mRNA)	STANFORD 23 (mRNA)	STANFORD 24 (mRNA)	STANFORD 35 (mRNA)	STANFORD 38 (mRNA)	STANFORD A (mRNA)
IMAGE:796904	chr6|nt153359438|6q24-q25|AA463204|PLAGL1|pleiomorphic adenoma gene-like 1	-0.17	-0.1	-0.09	-0.43	-0.18	-0.17	-0.12	0.1	-0.23	-0.42	-0.45	0.32	0.48	0.03	-0.32	-0.1	0.04	-0.17	-0.54	-0.09	-0.06	-0.04	-0.23	-0.14	-0.04	0.01	-0.23	0.11	-0.06	0.06	0.04	0.15	0.29	0.24	0.03	-0.2	-0.09	-0.04	0.16	-0.09	-0.01	-0.3	0.03	0.19		-0.36	-2.15	-0.55			-0.76	0.36	0.02		0.09	-0.71	-0.06	-0.14	-0.4	-0.12	0.66	-0.91	-0.12	0.94	-0.61	0.28	0.21	-0.44	-0.46	0.91	1.55	0.23	0.34	-0.04	-0.66	1.16	-0.12	0.94		-1.53	-1.12	0.42	0.84	-0.83		-0.06	0.29
IMAGE:144926	"chr6|nt153514025||R78514||ESTs, Weakly similar to B0495.6 [C.elegans]"	-0.22	0.19	0.11	0.51	0.28	-0.1	-0.1	-0.01	0.15	-0.69	0.04	0.24		-0.23	-0.27	-0.15	-0.76	0.37	-0.76	0.21	-1.32		-0.25	-0.3	-0.06	-1.47	0.15	0.2	0		-0.36	0.1	0.06	-0.51	0.36	-0.23	-0.27	0.07	0.28	0.46	0.11	-0.17	-0.1	0.49	0.1	0.2	-0.68	0.61	-0.06	0.57	0.4	-0.98	0.19	0.4	0.06	0.15	-0.46	0.01	0.41	0.04	-0.02	0.56	-0.04	0.56	-0.57	0.74	-0.1	0.25	0.48	-0.08	-0.29	-0.31	0.36	0.16	-0.13	0.04	-0.2	-0.26	-0.46	0.37	-0.21	-0.08	0.07	0	-0.08	-0.61	-0.21
IMAGE:460114	chr6|nt154257188|6q24|AA676840|UTRN|utrophin (homologous to dystrophin)|(2)	0.25	-0.02	0.11	-0.02	0.06	-0.79	-0.61	-0.08	-0.55	-0.05	-0.04	-0.01	-0.03	0.02	-0.01	-0.01	-0.25	0.02	-0.21	-0.36	0.04	0.14	0.18	-0.04	0.8	0.29	-0.11	0.33	-0.11	0.19	0.29	0.17	-0.07	-0.07	-0.21	-0.18	-0.11	-0.28	-0.02	0.25	0.06	-0.48	0.06	0.14	0.08	-0.29	-1.42	-1.43	-0.64	-0.01	-0.48	-0.02	-0.11	-0.77	-0.25	-0.67	0.43	0.42	-1.12	-1.14	-0.53	-0.15	0.14	-0.47	0.44	-0.03	0.57	0.06	0.36	0.76	1.17	0.15	0.91	0.11	0.43	0.01	0.22	0.59	0.06	-0.15	0.69	0.2	-0.45	-0.41	-0.31	-0.39	-0.92
IMAGE:472186	"chr6|nt155842392|6|AA036761|RAB32|RAB32, member RAS oncogene family"	-0.17	0.01	-0.1	-0.23	-0.22	-0.43	-0.71	-0.15	-0.69	-0.07	0.23	0.34	-0.07	0.07	-0.03	0.03	-0.14	0.01	-0.42	-0.06	0.12	0.21	0.1	-0.06	0.24	0.14	-0.14	0.19	0.04	0.1	0.34	-0.3	0	-0.2	-0.1	-0.36	-0.07	-0.27	0	0.18	0.03	-0.22	0.08	-0.09	-0.51	-0.43	-0.92	-2.68	-0.38	0.49	-0.3	0.22	0.04		-0.89	0.52	0.12	0.14	0.09	-0.23	0.63	0.25	0.37	0.9	-0.23	0.14	-0.41	-0.43	0.26	0.33	0.47	0.94	0.26	0.06	-1.68	0.52	-0.41	0.01		-0.55	-0.68	-0.28	-0.03	-0.6	0.52	0.19	-0.14
IMAGE:264938	"chr6|nt158406372||N21237||Homo sapiens cDNA FLJ13545 fis, clone PLACE1006867"	0.3	-0.15	0.14	0.2	-0.12	-0.56	-0.38	-0.04	-0.56	-0.15	0.06	-0.1	0.03	0.16	0.2	0.16	0.03	0.03	-0.1	-0.29	-0.27	-0.04	0.4	-0.09	0.01	0.34	-0.01	0.08	-0.07	-0.25	0.29	-0.01	-0.34	-0.06	-0.17	-0.94	-0.12	-0.09	0.07	0.48	-0.2	-0.09	-0.06	0.26	0.08	-0.23	-0.12	-3.05		-0.56	0.09	0.41	0.38		0.4	0.04	0.09	0.42	-3.33		-0.13	-0.38	0.67	-0.48	-0.29	-0.66	0.53	0.04		0.19	0.67	-1.05	-0.28	0.65	0.29	-0.74	0.77	-0.61	0.94	0.09	1.35	1.17	-0.58	-0.08		-0.31	-0.21
IMAGE:80912	"chr6|nt158460186||AI820506||ESTs, Weakly similar to ALU7_HUMAN ALU SUBFAMILY SQ SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens]"	0.11	0.08	0.1	0.21	-0.03	-0.12	-0.22	0.1	0	-0.07	0.15	0.38	-0.03	0.15	-0.01	0.1	0.08	0.07	-0.01	-0.01	-0.09	0.29	0.2	0.24	0.3	0.23	0.14	0.42	0.14	0.03	0.19	0.04	0.18	-0.04	0.1	0.12	0.14	0.19	0.14	0.34	0.14	0.11	0.23	0.14	0.14	-0.03	0.25	0.25	-0.76		-1.65		0.52		0.36	0.22	0.07	1.1		0.11	0.69	-0.08	0.28		-0.73	0.59	0.19	0.05	0.46	-0.02	-0.03	-0.24	-0.21	-0.13	-1.52	0.25	-0.16	-0.47		0.53	-0.98			0.74			
IMAGE:505335	chr6|nt158872686|6q23.1-6q25.3|AA147495|UST|uronyl 2-sulfotransferase		-0.18	-0.15			-0.62	-1.6	-0.4		-0.01	0.42	0.19	-0.54	-0.62		-0.56	-0.49	-0.23	-0.94	-0.79	-0.22	-0.09	-0.3	-0.42	-0.06	-0.04	-0.27	-0.12		-0.1		0.31	-0.42	-0.29	-0.34	-0.1	-0.06	-0.09	-0.56		-0.18	-0.69	-0.58		-0.97		1.49	0.09	-0.22	-0.58	-0.96	0.47	-0.03	-0.93	0.03	-0.45	-0.56	0	0.22		0.96	-0.5	0.48	-0.07	0.29	0.09	0.21	-0.76	0.71	1.8	0.55	0.07	0.05	-0.19	-0.07	-0.91	-0.25	0.86	-0.34	-0.01	-0.22	0.45	0.07	-0.5	0.24		-0.83
IMAGE:1031922	chr6|nt159222307|6q23.1-6q25.3|AA609740|KATNA1|katanin p60 (ATPase-containing) subunit A 1	0.38	0.57	0.18	0.04	0.08	-0.81	-0.43	-0.07	-0.18	-0.15	-0.38	-0.36	-0.04	-0.1	0.03	0.21	0.21	-0.1	-0.36	-0.15	-0.06	-0.2	0.28	0.16	0.29	0.24	0.08	0.32	0.01	0.12	-0.06	0.19	-0.04	0.08	-0.09	0	0.08	0.06	-0.22	0.31	0.21	-0.22	-0.06	0.42	0.08	-0.22	-0.99	0.34	-0.14		0.45	-0.36	-0.25	-1.14	-0.21	0.27	0.23	-0.7	-0.59	-0.34	0.11	0.04	-0.03	0.61	-0.14	0.06	0.08	-0.25	0.71	0.24	0.32	0.48	0.49	-0.36	0.56	0.56	0.51	0.23	-0.12	-0.12	0.06	-0.27	0.03	-0.23	0.23	-0.92	-0.36
IMAGE:123246	chr6|nt159504666||R00265||ESTs	0.49	0.04	0.06	0.18	0.23	-0.09	-0.2	0.1	-0.32	0.04	0.15	0.14	0.04	0.15	0.21	0.16	0.07	0.04	-0.1	-0.23	0.19	0.32	0.33	0.06	0.03	0.2	-0.01	0.32	-0.2	0.21	0.12	0.23	0.01	0.1	-0.12	-0.2	-0.18	0.06	-0.15	0.12	0	0	0.04	0.15	-0.06	-0.07		-0.31	0.42		-1.37	0.28	-0.72		-0.4	-0.48	-0.72	-0.22		0.13	0.25	-0.15	1.1		0.28	0.44	0.42	-0.95	0.74	0.56	-0.24	-0.53	0.44	-0.11	-0.42	-0.48	-0.37			-0.03	0.93	0.56	0.08	0.07			0.92
IMAGE:565249	"chr6|nt159759896||AA136103||ESTs, Weakly similar to KIAA0319 [H.sapiens]"	-0.14	0.03	-0.06	-0.12	-0.1	-0.74	-0.74	-0.14	-0.47	-0.2	-0.06	-0.03	-0.42	-0.14	-0.14	0	-0.17	-0.17	-0.56	-0.22	0.04	0.07	0.31	0.07	0.03	0.25	-0.14	0.37	0.03	-0.04	-0.07	0.03	-0.04	-0.22	-0.04	-0.07	0.06	-0.14	-0.32	0.21	-0.07	-0.27	0	0.14	-0.06	-0.29	-0.76	0.84	1.52	0.85	0.52	-0.74	0.09		-0.48	0.01	0.29	-0.34	-0.09	0.17	0.66	-0.31	0.06	-0.25	-0.35	1.87	0.73	-0.25	0.14	-0.23	-0.81	-0.33	-0.3	0.32	-1.04	-0.65	0.61	-0.6	0.57	0.22	0.08	0.39	-0.56	0.67	0.43	-0.59	0.24
IMAGE:83363	chr6|nt159852270|6q24-q25|T68453|PCMT1|protein-L-isoaspartate (D-aspartate) O-methyltransferase	-0.34	0.01	-0.07	-0.2	-0.04	-0.29	-0.56	0.16	-0.17	-0.09	0.08	0.25	-0.27	-0.06	0.33	0.07	-0.03	0.14	-0.3	0.01	0.29	0.25	1.91	0.29	-0.01	0.14	-0.14	0.31	0.29	0.12	-0.32	0.15	0.08	-0.06	0.04	0.06	0.07	0.86	-0.09	-0.09	0.08	-0.23	0.04	-0.04	-0.07	0.1	0.09	1.39	1.68	0.75	1.23	-0.57	0.18	-0.5	-0.5	0.44	-0.06	-0.57	0.07	0.19	0.05	0.86	-0.08	0.27	0.53	0.44	0.86	0.56	-0.23	-0.19	-0.37	-0.11	-0.19	0.1	-0.19	-0.03	0.26	-0.37	0.77	-0.7	-0.04	-0.39	-0.55	-0.08	-0.5	-0.78	0.29
IMAGE:291618	"chr6|nt159926145||N67816||Homo sapiens cDNA FLJ13287 fis, clone OVARC1001161"	0.54	0.19	0.12	0.29	0.15	0.04	0.08	0.04	0.14	0	-0.09	0.04	-0.2	-0.27	-0.03	0.12	-0.25	0.04	-0.27	-0.03	0.23	0.08	0.26	0.18	0.2	0.16	0.15	0.2	0.14	0.11	0.2	0.33	0.24	0	0.08	0.12	0.08	0.06	0.1	0.19	0.14	0.08	0.11	0.3	0.24	0.16	-0.34	-0.34	0.53	-0.42	-0.27	-0.69	0.21		0.06	0.24	-0.12	-0.24	-0.69	-0.02	0.05	-0.76	0.05	0.01	-0.44	0.14	0.14	-0.24	0.48	0.42	-0.44	-0.58	-0.42	-0.2	-0.94	-0.19	-0.38	-0.76	0.68	1.14	0.86	0.41	0.39	0.26	1.23	0.38	0.31
IMAGE:32516	"chr6|nt160302926||R18901||Human DNA sequence from clone RP5-1179L24 on chromosome 6q24.3-25.3. Contains the 3' end of the gene for a novel protein similar to mouse phospholipase C neighboring protein PNG, ESTs, STSs and GSSs"	-0.03	-0.15	-0.01	-0.17	-0.15	-0.69	-0.56	-0.17		-0.07	-0.07	-0.29	-0.04	0.16	0.1	0.2	-0.01	-0.18	0.03	0.16	0.2	0.01	0.1	0.06	0.04	0.26	-0.1	0.32	0.04	0.03	-0.12	0.25	-0.04	-0.1	-0.17	-0.01	-0.01	-0.01	-0.27	0.14	-0.01	-0.58	0.04	0.08	-0.3	-0.58	0.33	-2.47	2.83			-1.61	-1.41		1.07	-1.54	-1.18	-0.01			-0.46	-1.51	-0.74	3.35	-0.21	0.02	3.37	-2.03	2.35	0.23	-0.54	0.77	0.04		0.03	-0.35	-0.89		2.42	-1.21	-1.89	0.45	1.54				
IMAGE:767068	chr6|nt161168421|6|AA424504|DKFZP586G1517|DKFZP586G1517 protein	0.01	0	-0.04	-0.29	-0.17	-0.47	-0.42	-0.23	-0.2	0.01	0.25	0.04	0.15	-0.27	-0.18	-0.22	-0.14	-0.03	-0.36	-0.25	0.01	0.06	-0.01	-0.03	0.01	0.04	-0.06	0.03	0.06	-0.17	0.04	-0.07	-0.12	0.1	0.18	0.06	-0.04	-0.07	-0.12	0.37	0.01	0.1	-0.03	0.41	0.04	0.06		0.13						1.01		-0.01	-0.95	2.13		0.54	0.31	-0.46	-1.35			-0.71		-0.84	0.92			0.43		0.31		-0.2	-0.74		0.91	-1.27	-0.31		0.34	0.08		-0.13	0.05
IMAGE:784772	chr6|nt161692046|6q24-q25|AA478542|AKAP12|A kinase (PRKA) anchor protein (gravin) 12	-0.2	-0.23	-0.14	-0.3	-0.15	-0.64	-0.64	-0.01	-0.56	0.06	0.18	0.16	0.64	0.2	0.31	0.1	-0.18	0.07	-0.17	-0.22	0.14	0.23	0.25	-0.03	0.03	0.23	-0.14	0.41	0.21	0.07	0.03	0.1	-0.25	-0.03	0.43	-0.45	0	-0.17	-0.4	0.34	-0.01	-0.43	0.06	-0.07	-0.49	-0.54	1.83		-3.63	-1.63	-2.25	0.29	1.56		0.24	-0.67	0.15	0	1.21	-0.53	0.13	-1	-1.1	-1.63	-0.1	-0.56		-0.25	0.62	0.87	-0.46	0	0.31	0.07	0.8	0.07	-0.78	2.13	0.24	-1		0.98	-0.15	-0.63	0.69	0.88	0
IMAGE:725321	chr6|nt162149745|6q25.1|AA291702|ESR1|estrogen receptor 1|(4)	-0.21	-0.37	0.13	0.1	-0.07	-0.36	-0.03	-0.15	-0.27	-0.14	-0.15	-0.11	-0.06	0	-0.06	0.28	-0.24	-0.17	-0.08	0.12	0.27	0.19	-0.08	-0.19	0.02	0.13	0.18	0.18	0.17	-0.39	-0.01	-0.03	-0.11	-0.25	-0.24	0.02	-0.12	0.06	-0.1	0.27	-0.02	-0.17	-0.35	0.13	0.05	-0.01	-1.29	-0.12	-0.66	-0.31	0.37	-0.42	0.33	0.92	-0.59	-0.06	0.55	0.74	0.12	0.47	0.46	1.11	0.19	-0.96	-0.35	-0.46	-0.5	1.15	-0.15	-0.28	0.26	0.7	-1.49	0.28	0.4	-1.96	0.34	-0.32	-1.05	-0.67	0.63	0.58	-1.06	0.01	-0.2	0.45	0.43
IMAGE:428371	"chr6|nt163181991||AA004368||Homo sapiens cDNA FLJ11550 fis, clone HEMBA1002970"				-0.07	-0.29	-0.62	-0.4	-0.2	-0.71		0.14	-0.15	0.4	-0.04	-0.18	0.25	0.08	0.14	-0.01	-0.29	0.23	0	0.11	0.04	0	-0.07	-0.06	0.19	-0.09	0.04	-0.18	-0.43	-0.17	-0.1	-0.18	-0.01	-0.09	-0.1	-0.29		-0.03	-0.45	-0.1	0		-0.43	-0.9	-1.55		0.72	-0.24	0.15	-0.4	-0.01	0.16	-1.13	-0.29	0.06	-0.31	0.15	-0.34	0.82	-0.47	-1.07	-0.4	-0.21	0.29	0.57	-0.21	0.64	0.52	-0.58	0.16	0.26	0.56	-0.88	-0.14	0.47	0.49	-0.16	-0.38	1.14	-0.13	0.51	0.04	0.96	-0.62
IMAGE:855800	chr6|nt165184229|6q22|AA664056|PREP|prolyl endopeptidase	0.23	0.01	0.28	0.06	0.07	-0.04	-0.4	-0.47	-0.38		0.03	1.05	-0.58	-0.22	-0.15	-0.15	0.08	-0.04	-0.42	-0.4		0.25	0.1	0.04	-0.32	-0.27	-0.14	1.1	-0.07	0.08	0.11	0.23	0.11	-0.1	0.03	0.24	-0.07	-0.04	-0.22	-0.2	-0.2	0.06	-0.03	0.12	0.19	-0.15	0.8	0.91	1.87	0.55	0.48	-0.07	-0.15		-0.66	0.48	0.01	-0.35	0.08	0.21	0.21	-0.04	-0.87	0.73	-0.2	0.19	-0.2	-0.23	0.55	-0.17	-0.23	-0.09	-0.35	0.19	-0.83	0.73	0.26	-0.15	0.01	-0.2	-0.52		1.27	0.15	-0.26	-0.15	0.06
IMAGE:291786	chr6|nt165371151||N67860||ESTs	0.03	-0.34	0.16	0.07	0.03	-0.34	0.01	-0.23	-0.27	-0.07	0.07	0.03						0.25	-0.15	0.1	-0.18	0.06	-0.2		0.15	0.04	-0.1	0.18	0.19	0.01	0.49	-0.23	-0.01	-0.09	-0.4	-0.01	0	-0.18	-0.27	0.16	-0.09	-0.09	0.03	0.31	0	-0.2	-0.86	0.07	-1.33		0.88	0.82	-0.2		0.82	0.19	0.58	0.82	0.59	-0.46	-0.61	0.14	-1.2	0.38	-0.42	-0.15	-0.48	0.2		-0.84	-0.16	-0.35	0.3	-0.31		-0.9	-0.42			-0.77	0.77		0.61	0.18			
IMAGE:366591	chr6|nt165652221|6q25|AA026692|TIAM2|T-cell lymphoma invasion and metastasis 2	0.41	0	0.08	0	0.03	-0.69	-0.58	-0.06	-0.51	-0.09	-0.01	-0.12	0.01	0.11	0.39	0.18	0.04	0.08	-0.09	-0.3	-0.01	0.42	0.38	0.01	0	0.12	-0.07	0.1	0	0.19	0.14	-0.36	-0.3	-0.06	-0.42	-0.22	-0.2	-0.09	-0.27	0.2	0.04	-0.45		0.19	-0.07	-0.38	-0.28	-0.64	-1		-0.85		-0.03		-0.85	-0.18	-0.33	-0.13	-0.85		-0.46	0.33	0.61	0.44	0.33	-0.07	-0.05	-0.58		0.57	0.17	0.04	-0.18		-0.03	0.66	-0.55	0.5		0.74	0.08	1.15	-0.35				
IMAGE:755145	chr6|nt167891185|6q25-q26|AA411440|VIL2|villin 2 (ezrin)	0.58	0.24	0.06	-0.12	-0.14	-0.67	-0.3	-0.22	-0.38	1.98		0.95	0.69		1.15	0.93	0.67	0.31	0.59			0.58	0.5	0.19	0.1	0.4	-0.32	0.12	-0.09	0.15	0.23	0.08	0.19	0.14	-0.12	0.23	-0.09	-0.04	-0.15	0.23	0	-0.25	0.68	0.3	0.15	-0.27	-0.1	-1.18	1.23	-0.24	0.17	-0.28	0.24	0.6	0.89	-0.2	0.68	-0.24	-0.28	-0.94	0.21	-0.1	0.25	-0.07	0.87	-0.92	0.68	-0.12	0.26	-0.66	-0.96	-0.3	-0.16	-0.35	0.28	-0.71	-0.33	-0.28	0.57	0.05	0.54	0.17	-0.34	-0.09	0.5	-0.34	0.81
IMAGE:781341	chr6|nt168181768|6q25-q26|AA448395|TUSP|tubby super-family protein	0.11	0.29	0.15	0.08	0.07	0.25	0.41	-0.03	0.26	0	0.36	0.21	-0.06	0.07	0	0.06	-0.09	0.04	-0.12	0.14	0.28	0.11	0.06	0.14	0.14	0.24	0.08	0	0.1	-0.01	0.1	0.24	0.16	0.26	0.26	0.03	0.06	0.16	0.18	0.18	0.08	0.33	0.15	0.12	0.26	0.19	0.64	0.58	0.67	-0.35	0.12	-1.46	1.37	-0.8	0.57	0.74	0.52	0.01	0.32	0.39	1.35	0.69	0.7	-0.26	0.42	1.38	-0.55	1	-0.83	0.2	-0.66	-0.31	-0.44	0.19	-0.48	-0.42	-1.17	-0.42	0.09	-0.73	0.44	-0.29	0.22	-0.37	-0.59	-0.63	-0.35
IMAGE:811842	chr6|nt168446723|*1q32|AA443177|SRP72|signal recognition particle 72kD|(2)	0.14	0.03	0.1	0.12	0.08	-0.13	0.32	-0.11	-0.04	0.04	0.04	-0.13	-0.15	0	0.08	0.07	0.08	-0.01	-0.08	-0.4	0.1	-0.07	-0.08	0.11	0	0.03	-0.03	-0.05	-0.09	-0.08	0.11	-0.08	0	0.03	-0.22	0.24	0.05	0.01	0.05	0.13	-0.03	-0.11	-0.02	0.44	0.24	0.29	0.7	1	1.52	0.43	1.02	-0.54	-0.18	-0.17	0.42	0.56	-0.2	-0.15	0.74	0.17	-0.15	0.46	-0.18	0.09	0.07	0.45	0.13	1.03	-0.21	0.04	0.08	0.05	-0.28	0.21	-0.04	0.47	0.48	-0.18	-0.09	-0.87	-1.01	-0.92	-0.03	-0.02	-0.84	-0.82	0.34
IMAGE:503275	"chr6|nt168598376||AA148416||ESTs, Weakly similar to cDNA EST EMBL:D66552 comes from this gene [C.elegans]"	0.11	-0.04	-0.01	-0.06	-0.03		-0.54	-0.17	-0.58	-0.14	-0.27	-0.36	-0.45	-0.3	-0.51	-0.07		-0.07	-0.97	-0.49	-0.25	0.21	-0.04	0.03	0.1	0.16	-0.17	0.01	-0.15	-0.04	0.04	0.11	-0.07	-0.14	-0.56	-0.29	-0.01	-0.06	0.04	0.36	0.06	-0.25	-0.06	0.28	0	-0.14	1.24	-0.51	1.13		0.01	0.66	0.28		0.42	0.38	0.2	-0.34	-0.97	-1.12	-0.03	0.55	-0.36	1.4	-0.23	0.54	0.38	-0.32	1.06	-0.1	-0.14	0.05	0.46	-0.36	-1.9	-0.25	-0.14			0.34	-0.01		-0.62	0.26			-0.16
IMAGE:309932	chr6|nt168780014|6q25.1-q26|N95433|SH3PX1|SH3 and PX domain-containing protein SH3PX1	0.08	-0.04	0.03	0.12	0.1	0.28	0.28	0.39	0.76	-0.04	0.14	0.04	0.16	-0.27	-0.42	0.11	0.18	0.03	-0.2	-0.12	-0.4	-0.27	-0.15	0.08	0	0	0.07	-0.01	0.1	0.01	0.31	0.06	0.1	0.18	-0.2	-0.15	0.06	0	0.12	0.29	0.07	-0.09	0	0.33	0.04	0.12	0.36	-0.78	0.11			-0.42	0.24	0.16	0.24	-0.29	0.58	1.11	-0.8	-0.29	0.41	-0.49	0.18		-0.4	-0.37	0.06	0.38	0.98	0.29	0.21	0.33	-0.36	-0.71	-0.4	0.06	0.03			0.1	-0.51	0.16	-0.62	0.23			
IMAGE:782339	"chr6|nt169049217||AA431260||Homo sapiens cDNA: FLJ20984 fis, clone CAE00871"	0.04	-0.12	0.12	-0.15	-0.06	-0.54	-0.58	-0.01	-0.58	0.03	0.16	-0.14	0.08	0.19	0.39	0.15	-0.03	0.06	-0.22	-0.42	-0.15	0	0.2	0.03	-0.12	0.08	-0.07	0.14	0.2	0.1	0.1	-0.23	-0.38	-0.07	-0.42	-0.43	-0.18	-0.01	-0.04	0.33	0.06	-0.15	0.33	0.24	-0.09	-0.18	-0.22	-0.44	0.16	-1.65	-0.98	-0.37	-0.44	-0.41	0.69	-0.4	-0.6	0.3	-0.74	-0.63	-0.49	-0.15	0.78	-0.15	-0.1	-0.09	0.67	-0.28	1.03	-0.15	0.44	0.36	-0.01	-0.83	-0.16	-0.16	-0.55	0.2	0.25	0.36	1.83	0.6	0.05	0.29	0.56	-0.26	-0.58
IMAGE:840708	"chr6|nt170376990|6q25.3|AA487750|SOD2|superoxide dismutase 2, mitochondrial"	0.11	0.14	0.1	-0.07	-0.03	-0.51	-0.45	-0.03	-0.07	0.07	0.36	0.16	-0.07	-0.14	0.18	0	-0.04	0.07	-0.18	-0.18	0.19	0.21	0.1	0.08	-0.17	0.2	-0.01		-0.06	-0.06	0.3	-0.2	0.46	0.04	-0.2	0.19	0.04	-0.09	-0.15	0.12	-0.04	-0.14	0	0.18	0.08	-0.06	-1.21	-1.22	-0.19	-1.51	0.01	-0.48	-0.5	-1.77	0.97	0.04	-1.06	0.58	-0.59	-0.54	0.57	-0.77	0.94	2.12	-0.34	-0.21	0.18	-0.15	-0.13	0.25	1.7	0.42	0.4	0.17	-1.19	-1.37	-0.96	-0.69	0.77	0.75	0.34	-0.55	0.69	0.51	-0.11	0.26	-0.26
IMAGE:321659	chr6|nt170413791|6q25-q27|W32942|KIAA0105|Wilms' tumour 1-associating protein|(3)	-0.2	-0.32	0.1	-0.49	0.08	0.05	-0.45	-0.39	-0.62	0.2	-0.12	-0.04	-0.11	0.09	-0.06	0.28	-0.16	-0.17	0.43	0.16	-0.16	-0.28	0.13	-0.36	-0.02	-0.09	0.1	0.08	-0.14	-0.18	-0.02	-0.09	-0.1	0	0.05	0.2	-0.25	0.13	0.06	-0.52	-0.29	-0.07	0.02	-0.16	-0.17	0.02	0.57	0.03	-0.44	1.89	0.28	-0.7	0.35	-0.67	-0.05	1.06	-0.59	0.8	1.13	0.14	-0.65	0.35	-0.4	0.29	0.18	0.43	-0.26	0.72	-0.6	-0.84	-0.22	-0.21	-0.13	0.1	0.24	-1.5	0.3	-0.83	0.91	-0.37	0.42	0.32	-0.12	-0.86	0.2	0.74	-0.24
IMAGE:282356	chr6|nt170442118||N49763||ESTs	-0.22	0.01	-0.04	-0.14	-0.17	-0.49	-0.69	-0.09	-0.45	0.07	0.26	0.21	-0.1	0.11	0.06	0.03	-0.03	0.06	-0.06	0.04	0.2	0.41	0.12	0.11	0.12	0.29	0.03	0.14	0.07	-0.1	0.19	0.25	0	-0.15	-0.18	0.3	0.11	-0.06	-0.42	-0.03	-0.07	-0.23	0.03	0.04	-0.12	-0.23	-0.06	-0.54	-0.08	-0.71	-0.37	-0.08	-0.26		0.17	0.65	-0.56	-0.24	-0.24	0.37	0.03	-0.1	0.14	0.49	-0.5	-0.26	0.23	-0.21	0.78	-0.63	-0.1	-0.56	-0.38	-0.78	-1.32	-0.63	-0.54	-0.58	0.69	1.34	0.41	0.36	0.28	0.63	1	0.38	0.4
IMAGE:36393	chr6|nt170472170|6q25.3-q26|R25823|ACAT2|acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	0.2	0.33	0.37	0.37	0.19	-0.18	-0.25	-0.03	-0.15	0.01	0.1	0.01	0.42	0.45	0.61	0.3	0.2	0.15	0.19	0.07	0.41	0.51	0.23	0.18	0.28	0.42	0.12	0.31	0.03	0.11	0.24	0.23	0.16	0.1	-0.22	0.41	0.3	0.28	0	0.28	0.08	0.03	0.16	0.4	0.3	0.2	0.99	1.18	1.19	1.13	0.52	-0.33	-0.71	-0.86	-0.37	0.73	0.54	-0.48	0.22	0.17	0.14	0.58	-0.15	0.39	0.19	0.19	0.45	-0.06	0.19	-0.26	-0.33	-0.48	0.24	-0.26	-0.06	0.22	-0.19	-0.12	0.34	-0.19	0.8	-0.44	0.24	0.09	0.22	-0.76	-0.44
IMAGE:796281	chr6|nt170500018|6|AA460847|HSPC071|HSPC071 protein		0.1	0.08	-0.03	-0.04	-0.84	-0.47	-0.07	-0.25	-0.12	-0.3		-0.03	-0.07	0.36		0.01	-0.03	-0.12	0.01	-0.12	0.06	0.42	0.24	0.15	0.23	-0.29	0.2	-0.01	-0.01	0.29	0.16	-0.03	-0.12	-0.14	0.23	0.04	0.06	-0.25	0.11	0	-0.29	0.15	0.37	0.31	-0.1	-0.11	0.8	1.4	0.71	0.96	-1.28	0.57	-0.81	0.22	0.88	0.47	-0.04	-0.19	0.07	0.2	1.05	-0.1	0.13	-0.28	1.02	0.33	0.38	0.09	-0.1	-0.15	-0.11	-0.65	0.23	-0.57	-0.08	0.75	-0.48	-0.17	-0.28	0.33	-0.41	-0.1	-0.13	-0.23	-1.1	-0.24
